Año_lectivo;Provincia;Cantón;Parroquia;Nombre_Institución;Área;Total_estudiantes;Promovidos;No_promovidos;Abandono
2022-2023;AZUAY;CUENCA;CHAUCHA;ESCUELA_DE_EDUCACION_BASICA_SEIS_DE_JUNIO;Rural;10;10;0;0
2022-2023;AZUAY;CUENCA;QUINGEO;CECIB_DE_EDUCACIÓN_BÁSICA_MONSEÑOR_LEONIDAS_PROAÑO_II;Rural;145;145;0;0
2022-2023;AZUAY;CUENCA;QUINGEO;CECIB_DE_EDUCACIÓN_BÁSICA_EL_TEJAR;Rural;36;36;0;0
2022-2023;AZUAY;CUENCA;RICAURTE;UNIDAD_EDUCATIVA_PARTICULAR_BUENA_ESPERANZA;Rural;1507;1503;4;0
2022-2023;AZUAY;CUENCA;SANTA_ANA;CECIB_DE_EDUCACION_BASICA_MONTE_SINAÍ;Rural;45;44;1;0
2022-2023;AZUAY;CUENCA;TURI;CECIB_DE_EDUCACIÓN_BÁSICA_XAVIER_MUÑOZ_CHAVEZ;Rural;18;18;0;0
2022-2023;AZUAY;CUENCA;TURI;CECIB_DE_EDUCACIÓN_BÁSICA_CESAR_VICTORIANO_MARTINEZ_VERDUGO;Rural;24;24;0;0
2022-2023;AZUAY;CUENCA;TURI;CECIB_DE_EDUCACIÓN_BÁSICA_MARCO_MARTINEZ;Rural;25;25;0;0
2022-2023;AZUAY;CUENCA;SANTA_ANA;CECIB_DE_EDUCACIÓN_BÁSICA _JUAN_PEÑAFIEL;Rural;80;80;0;0
2022-2023;AZUAY;GUALACEO;GUALACEO;CECIB_DE_EDUCACIÓN_BÁSICA_MIGUEL_IGNACIO_CORDERO_MONCAYO;Urbana;98;96;1;1
2022-2023;AZUAY;GUALACEO;SAN_JUAN;19_DE_MAYO;Rural;10;10;0;0
2022-2023;AZUAY;GUALACEO;SAN_JUAN;CECIB_DE_EDUCACIÓN_BÁSICA_LA_DOLOROSA;Rural;55;54;0;1
2022-2023;AZUAY;GUALACEO;ZHIDMAD;CECIB_DE_EDUCACIÓN_BÁSICA_RUMIÑAHUI;Rural;7;7;0;0
2022-2023;AZUAY;NABON;NABON;CECIB_DE_EDUCACIÓN_BÁSICA_EFRAÍN_NAULA;Urbana;63;63;0;0
2022-2023;AZUAY;NABON;NABON;CECIB_DE_EDUCACIÓN_BÁSICA_ARTURO_QUESADA_MENDIETA;Urbana;121;121;0;0
2022-2023;AZUAY;NABON;NABON;CECIB_DE_EDUCACION_BÁSICA_MONSEÑOR_LEONIDAS_PROAÑO_1;Urbana;88;82;2;4
2022-2023;AZUAY;NABON;NABON;CECIB_DE_EDUCACIÓN_BÁSICA_SAN_JOSE;Urbana;62;62;0;0
2022-2023;AZUAY;NABON;NABON;CECIB_DE_EDUCACIÓN_BÁSICA_JOSÉ_ALBERTO_MOROCHO;Urbana;5;5;0;0
2022-2023;AZUAY;NABON;NABON;UNIDAD_EDUCATIVA_COMUNITARIA_INTERCULTURAL_BILINGÜE_SAN_JOSE;Urbana;35;35;0;0
2022-2023;AZUAY;NABON;NABON;UNIDAD_EDUCATIVA_BALTAZAR_AGUIRRE;Urbana;193;193;0;0
2022-2023;AZUAY;NABON;NABON;CECIB_DE_EDUCACIÓN_BÁSICA_FERNANDO_DAQUILEMA;Urbana;13;13;0;0
2022-2023;AZUAY;NABON;NABON;UNIDAD_EDUCATIVA_COMUNITARIA_INTERCULTURAL_BILINGÜE_SHIÑA;Urbana;226;220;0;6
2022-2023;AZUAY;SIGSIG;LUDO;CECIB_DE_EDUCACIÓN_BÁSICA_JAIME_ROLDOS_AGUILERA;Rural;67;67;0;0
2022-2023;AZUAY;OÑA;SUSUDEL;CECIB_DE_EDUCACIÓN_BÁSICA_NUEVO_SUSUDEL;Rural;102;102;0;0
